Manual Order,Game Name,Group,Category,Source Page(s),Start Page,End Page,Suggested Slug,Referee Introduction,Description,Alternate Names,Special Note,Variations,Variation Count,Called Variations,Duplicate Title Flag,Review Status,Squarespace HTML,Raw Entry Text,Source File,QA Reviewer,Last Reviewed,Publish Status,Published URL,Last Published,Editorial Notes
20,OLD TIME COMIC,Team Games,Interrupt Games,32,32,32,old-time-comic,"“The players will begin a scene, and throughout it I can blow my whistle and call out a word said by a player. From there it is a surprise.”","The referee gets a suggestion for the game, and the players begin with a neutral scene.  Whenever the referee wishes, they may interrupt the game and call out a player and a word that was just used. That player will drop everything, jump out and declare in a Jimmy Durante-esque vaudevillian manner “Hey, Morty, did you hear the one about the (word called by referee)?” At this point, all players regardless of team will jump onto the field, and taking the same pose and voice clap their hands and respond “No, Morty, we didn’t hear the one about the (word called by referee)” The original player will deliver a pun based on that word, and all players jazz hands and say “Ha-cha-cha” and leave the field. Play then continues as if nothing happened.",Hey Morty; Vaudeville; Old School Stand-Up,,,0,,,Auto-extracted - needs human spot check,"<h1>OLD TIME COMIC</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The players will begin a scene, and throughout it I can blow my whistle and call out a word said by a player. From there it is a surprise.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin with a neutral scene.  Whenever the referee wishes, they may interrupt the game and call out a player and a word that was just used. That player will drop everything, jump out and declare in a Jimmy Durante-esque vaudevillian manner “Hey, Morty, did you hear the one about the (word called by referee)?” At this point, all players regardless of team will jump onto the field, and taking the same pose and voice clap their hands and respond “No, Morty, we didn’t hear the one about the (word called by referee)” The original player will deliver a pun based on that word, and all players jazz hands and say “Ha-cha-cha” and leave the field. Play then continues as if nothing happened.</p>

<h2>Alternate Names</h2>
<p>Hey Morty; Vaudeville; Old School Stand-Up</p>","OLD TIME COMIC
“The players will begin a scene, and throughout it I can blow my whistle and
call out a word said by a player. From there it is a surprise.”
The referee gets a suggestion for the game, and the players begin with a
neutral scene.  Whenever the referee wishes, they may interrupt the
game and call out a player and a word that was just used. That player will
drop everything, jump out and declare in a Jimmy Durante-esque
vaudevillian manner “Hey, Morty, did you hear the one about the (word
called by referee)?” At this point, all players regardless of team will jump
onto the field, and taking the same pose and voice clap their hands and
respond “No, Morty, we didn’t hear the one about the (word called by
referee)” The original player will deliver a pun based on that word, and
all players jazz hands and say “Ha-cha-cha” and leave the field. Play then
continues as if nothing happened.
Alternate Names: Hey Morty; Vaudeville; Old School Stand-Up",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
21,OSCAR WINNING MOMENT,Team Games,Interrupt Games,33,33,33,oscar-winning-moment,"“The players will begin a scene, and throughout it I can blow my whistle and call out a player, who will then show us the Oscar winning moment from that scene.”","The referee gets a suggestion for the game, and the players begin with a neutral scene.  Whenever the referee wishes, they may interrupt the game and call out a player who will then take a turn for the dramatic, delivering the moment that would be shown as to why they were nominated for an Oscar.  Either the referee or the player may end the moment. This moment is part of the reality.",,,"●
May be played with commands such as Best Action Scene or Best Kiss. (Called “MTV Movie Awards” or “Teen Choice Awards”)
●
May be played with the moments being sung in a Broadway fashion. (Called “Tony Winning Moment”)
●
May be played with the moments being rapped. (Called “Source Award Winning Moment”)",3,Tony Winning Moment; Source Award Winning Moment,,Auto-extracted - needs human spot check,"<h1>OSCAR WINNING MOMENT</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The players will begin a scene, and throughout it I can blow my whistle and call out a player, who will then show us the Oscar winning moment from that scene.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin with a neutral scene.  Whenever the referee wishes, they may interrupt the game and call out a player who will then take a turn for the dramatic, delivering the moment that would be shown as to why they were nominated for an Oscar.  Either the referee or the player may end the moment. This moment is part of the reality.</p>

<h2>Variations</h2>
<ul>
<li>May be played with commands such as Best Action Scene or Best Kiss. (Called “MTV Movie Awards” or “Teen Choice Awards”)</li>
<li>May be played with the moments being sung in a Broadway fashion. (Called “Tony Winning Moment”)</li>
<li>May be played with the moments being rapped. (Called “Source Award Winning Moment”)</li>
</ul>","OSCAR WINNING MOMENT
“The players will begin a scene, and throughout it I can blow my whistle and
call out a player, who will then show us the Oscar winning moment from that
scene.”
The referee gets a suggestion for the game, and the players begin with a
neutral scene.  Whenever the referee wishes, they may interrupt the
game and call out a player who will then take a turn for the dramatic,
delivering the moment that would be shown as to why they were
nominated for an Oscar.  Either the referee or the player may end the
moment. This moment is part of the reality.
Variations on this Game
●
May be played with commands such as Best Action Scene or Best
Kiss. (Called “MTV Movie Awards” or “Teen Choice Awards”)
●
May be played with the moments being sung in a Broadway
fashion. (Called “Tony Winning Moment”)
●
May be played with the moments being rapped. (Called “Source
Award Winning Moment”)",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
22,PARALLEL UNIVERSE,Team Games,Interrupt Games,34,34,34,parallel-universe,"“The players will begin a scene, and throughout it I can blow my whistle and call out a location, and they scene shifts to that location.”","The referee will get a list of three or four locations, chooses one as the starting point for the game, and the players begin a scene in that location. Whenever the referee wishes, they may interrupt the game and call out one of the other locations, and the players must justify their positions in that new location. The referee may also go to locations previously visited and the scenes that had been established there must continue with the new positions.",,,"●
May be played with the players dying in ridiculous ways, falling dead on the ground. When the locations shift, if a player is dead in that location they must quickly get back to where their body was, if they died in the scene previous but were alive in the other locations, they must justify why they were on the ground. The goal is to have all dead in all locations. (Called “Death Pendulum”)",1,Death Pendulum,,Auto-extracted - needs human spot check,"<h1>PARALLEL UNIVERSE</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The players will begin a scene, and throughout it I can blow my whistle and call out a location, and they scene shifts to that location.”</p></blockquote>

<h2>Description</h2>
<p>The referee will get a list of three or four locations, chooses one as the starting point for the game, and the players begin a scene in that location. Whenever the referee wishes, they may interrupt the game and call out one of the other locations, and the players must justify their positions in that new location. The referee may also go to locations previously visited and the scenes that had been established there must continue with the new positions.</p>

<h2>Variations</h2>
<ul>
<li>May be played with the players dying in ridiculous ways, falling dead on the ground. When the locations shift, if a player is dead in that location they must quickly get back to where their body was, if they died in the scene previous but were alive in the other locations, they must justify why they were on the ground. The goal is to have all dead in all locations. (Called “Death Pendulum”)</li>
</ul>","PARALLEL UNIVERSE
“The players will begin a scene, and throughout it I can blow my whistle and
call out a location, and they scene shifts to that location.”
The referee will get a list of three or four locations, chooses one as the
starting point for the game, and the players begin a scene in that
location. Whenever the referee wishes, they may interrupt the game and
call out one of the other locations, and the players must justify their
positions in that new location. The referee may also go to locations
previously visited and the scenes that had been established there must
continue with the new positions.
Variations on this Game
●
May be played with the players dying in ridiculous ways, falling
dead on the ground. When the locations shift, if a player is dead
in that location they must quickly get back to where their body
was, if they died in the scene previous but were alive in the other
locations, they must justify why they were on the ground. The
goal is to have all dead in all locations. (Called “Death Pendulum”)",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
23,SCANTRON,Team Games,Interrupt Games,35,35,35,scantron,"“The players will begin a scene, and throughout it I can blow my whistle and ask the players what happens next, then you all will choose between the answers.”","The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the game and ask the players what happens next, while hovering a hand over their heads. After all the players have had a chance to voice what they believe happens next, the audience will select their answer, and it happens almost instantly.",,,"●
May be interrupted by players who will put their hand their hand on a player and suggest a scene for the two of them to do together. The players with the hands on them selects where to go next. (Called “Choose Your Own Adventure”)",1,Choose Your Own Adventure,,Auto-extracted - needs human spot check,"<h1>SCANTRON</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The players will begin a scene, and throughout it I can blow my whistle and ask the players what happens next, then you all will choose between the answers.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the game and ask the players what happens next, while hovering a hand over their heads. After all the players have had a chance to voice what they believe happens next, the audience will select their answer, and it happens almost instantly.</p>

<h2>Variations</h2>
<ul>
<li>May be interrupted by players who will put their hand their hand on a player and suggest a scene for the two of them to do together. The players with the hands on them selects where to go next. (Called “Choose Your Own Adventure”)</li>
</ul>","SCANTRON
“The players will begin a scene, and throughout it I can blow my whistle and
ask the players what happens next, then you all will choose between the
answers.”
The referee gets a suggestion for the game, and the players begin with a
neutral scene. Whenever the referee wishes, they may interrupt the
game and ask the players what happens next, while hovering a hand over
their heads. After all the players have had a chance to voice what they
believe happens next, the audience will select their answer, and it
happens almost instantly.
Variations on this Game
●
May be interrupted by players who will put their hand their hand
on a player and suggest a scene for the two of them to do
together. The players with the hands on them selects where to go
next. (Called “Choose Your Own Adventure”)",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
24,SOAP OPERA,Team Games,Interrupt Games,36,36,36,soap-opera,"“The players will perform a soap opera scene, and whenever they hear a musical sting, one character’s inner thoughts will be exposed.”","The referee gets a suggestion for the game, places a stool center-field, and the players begin a scene in the style of a dramatic soap opera. Whenever the announcer wishes, they will play a dramatic sting, and one player will step to the stool looking towards the audience with a far-off gaze. The announcer then provides their innermost thoughts and secrets, which must be justified into the scene.",,,"●
May be played with the other team providing the inner thoughts of the players.",1,,,Auto-extracted - needs human spot check,"<h1>SOAP OPERA</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The players will perform a soap opera scene, and whenever they hear a musical sting, one character’s inner thoughts will be exposed.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, places a stool center-field, and the players begin a scene in the style of a dramatic soap opera. Whenever the announcer wishes, they will play a dramatic sting, and one player will step to the stool looking towards the audience with a far-off gaze. The announcer then provides their innermost thoughts and secrets, which must be justified into the scene.</p>

<h2>Variations</h2>
<ul>
<li>May be played with the other team providing the inner thoughts of the players.</li>
</ul>","SOAP OPERA
“The players will perform a soap opera scene, and whenever they hear a
musical sting, one character’s inner thoughts will be exposed.”
The referee gets a suggestion for the game, places a stool center-field,
and the players begin a scene in the style of a dramatic soap opera.
Whenever the announcer wishes, they will play a dramatic sting, and one
player will step to the stool looking towards the audience with a far-off
gaze. The announcer then provides their innermost thoughts and
secrets, which must be justified into the scene.
Variations on this Game
●
May be played with the other team providing the inner thoughts
of the players.",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
25,SPIN-OFF,Team Games,Interrupt Games,37,37,37,spin-off,"“The team will perform a scene, and whenever I wish I can call for a character to have their own spin-off.”","The referee gets a suggestion for the game, and the players begin a neutral scene. Whenever the referee wishes, the will interrupt the scene and call for one of the characters to have a spin-off scene, and get a suggestion of a genre from the audience. The players now perform the new scene. This repeats until the end of the game.",,,"●
May be played head-to-head.",1,,,Auto-extracted - needs human spot check,"<h1>SPIN-OFF</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The team will perform a scene, and whenever I wish I can call for a character to have their own spin-off.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin a neutral scene. Whenever the referee wishes, the will interrupt the scene and call for one of the characters to have a spin-off scene, and get a suggestion of a genre from the audience. The players now perform the new scene. This repeats until the end of the game.</p>

<h2>Variations</h2>
<ul>
<li>May be played head-to-head.</li>
</ul>","SPIN-OFF
“The team will perform a scene, and whenever I wish I can call for a character
to have their own spin-off.”
The referee gets a suggestion for the game, and the players begin a
neutral scene. Whenever the referee wishes, the will interrupt the scene
and call for one of the characters to have a spin-off scene, and get a
suggestion of a genre from the audience. The players now perform the
new scene. This repeats until the end of the game.
Variations on this Game
●
May be played head-to-head.",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
26,START OVER,Team Games,Interrupt Games,38,38,38,start-over,"“The team will perform a scene beginning with a specific action, and whenever I wish I can call for the game to start over.”","The referee gets a suggestion of a physical action for the game. The players will begin a scene where one player is doing the action, and the others making it make sense. Whenever the referee wishes, the will interrupt the scene and call for the players to “Start Over.” When this happens, one player will begin doing the original activity, and a new scene starts. This repeats until the end of the game.",,,"●
May be played head-to-head with the teams switching each time the referee calls “Start over.”",1,,,Auto-extracted - needs human spot check,"<h1>START OVER</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The team will perform a scene beginning with a specific action, and whenever I wish I can call for the game to start over.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion of a physical action for the game. The players will begin a scene where one player is doing the action, and the others making it make sense. Whenever the referee wishes, the will interrupt the scene and call for the players to “Start Over.” When this happens, one player will begin doing the original activity, and a new scene starts. This repeats until the end of the game.</p>

<h2>Variations</h2>
<ul>
<li>May be played head-to-head with the teams switching each time the referee calls “Start over.”</li>
</ul>","START OVER
“The team will perform a scene beginning with a specific action, and whenever
I wish I can call for the game to start over.”
The referee gets a suggestion of a physical action for the game. The
players will begin a scene where one player is doing the action, and the
others making it make sense. Whenever the referee wishes, the will
interrupt the scene and call for the players to “Start Over.” When this
happens, one player will begin doing the original activity, and a new
scene starts. This repeats until the end of the game.
Variations on this Game
●
May be played head-to-head with the teams switching each time
the referee calls “Start over.”",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
27,STUNT DOUBLE,Team Games,Interrupt Games,39,39,39,stunt-double,"“The players will be doing a scene, and throughout it I can blow my whistle and call for stunt doubles for the dangerous stuff.”","The referee gets a suggestion for the game, and the players begin a with a neutral scene. Whenever the referee wishes, they may interrupt the game and call for a stunt double who will come in tap out a player and perform the next action in a highly over the top dangerous fashion. The stunt double may be a player from their team or the other team. The actions taken by the stunt double change the realty.",,,"●
May be interrupted by players rather than the referee.
●
May be played with the referee calling for the “Evil Twin” instead, and a player from the other team taps out a player and does something evil. (Called “Evil Twin”)",2,Evil Twin,,Auto-extracted - needs human spot check,"<h1>STUNT DOUBLE</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The players will be doing a scene, and throughout it I can blow my whistle and call for stunt doubles for the dangerous stuff.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin a with a neutral scene. Whenever the referee wishes, they may interrupt the game and call for a stunt double who will come in tap out a player and perform the next action in a highly over the top dangerous fashion. The stunt double may be a player from their team or the other team. The actions taken by the stunt double change the realty.</p>

<h2>Variations</h2>
<ul>
<li>May be interrupted by players rather than the referee.</li>
<li>May be played with the referee calling for the “Evil Twin” instead, and a player from the other team taps out a player and does something evil. (Called “Evil Twin”)</li>
</ul>","STUNT DOUBLE
“The players will be doing a scene, and throughout it I can blow my whistle
and call for stunt doubles for the dangerous stuff.”
The referee gets a suggestion for the game, and the players begin a with
a neutral scene. Whenever the referee wishes, they may interrupt the
game and call for a stunt double who will come in tap out a player and
perform the next action in a highly over the top dangerous fashion. The
stunt double may be a player from their team or the other team. The
actions taken by the stunt double change the realty.
Variations on this Game
●
May be interrupted by players rather than the referee.
●
May be played with the referee calling for the “Evil Twin” instead,
and a player from the other team taps out a player and does
something evil. (Called “Evil Twin”)",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
28,SWITCH,Team Games,Interrupt Games,40,40,40,switch,"“The team will do a scene, and throughout it I can blow my whistle and change their scene between normal and the genre.”","The referee gets a suggestion for the game, and a genre. The players begin with a neutral scene.  Whenever the referee wishes, they may interrupt the game and call out “Switch!” and the players must immediately switch from their normal scene to the genre given, and vice- versa.",,,"●
May be played with a predetermined genre. (Called “____ Switch” depending on the predetermined genre.)
●
May be played with switching between the style of speaking rather than the genre. (Called “Gibberish Switch,” “Shakespeare Switch,” “Seuss Switch,” “Rap Switch,” etc.)
●
May be played with switching between two genres, such as Rapping and Shakespeare (Called “Slamlet”)",3,Slamlet,,Auto-extracted - needs human spot check,"<h1>SWITCH</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The team will do a scene, and throughout it I can blow my whistle and change their scene between normal and the genre.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and a genre. The players begin with a neutral scene.  Whenever the referee wishes, they may interrupt the game and call out “Switch!” and the players must immediately switch from their normal scene to the genre given, and vice- versa.</p>

<h2>Variations</h2>
<ul>
<li>May be played with a predetermined genre. (Called “____ Switch” depending on the predetermined genre.)</li>
<li>May be played with switching between the style of speaking rather than the genre. (Called “Gibberish Switch,” “Shakespeare Switch,” “Seuss Switch,” “Rap Switch,” etc.)</li>
<li>May be played with switching between two genres, such as Rapping and Shakespeare (Called “Slamlet”)</li>
</ul>","SWITCH
“The team will do a scene, and throughout it I can blow my whistle and change
their scene between normal and the genre.”
The referee gets a suggestion for the game, and a genre. The players
begin with a neutral scene.  Whenever the referee wishes, they may
interrupt the game and call out “Switch!” and the players must
immediately switch from their normal scene to the genre given, and vice-
versa.
Variations on this Game
●
May be played with a predetermined genre. (Called “____ Switch”
depending on the predetermined genre.)
●
May be played with switching between the style of speaking
rather than the genre. (Called “Gibberish Switch,” “Shakespeare
Switch,” “Seuss Switch,” “Rap Switch,” etc.)
●
May be played with switching between two genres, such as
Rapping and Shakespeare (Called “Slamlet”)",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
29,SYNONYM ROLL,Team Games,Interrupt Games,41,41,41,synonym-roll,"“The players will begin a scene, and throughout it I can blow my whistle and the players will begin to list synonyms for what they just said.”","The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the game and repeat a word, the player who said that word will begin to list synonyms for that word as quickly as possible. When the referee hears one they like, they will blow their whistle a second time and repeat the new word. From then forward anytime the original word should be said it is replaced with the synonym.",,,,0,,,Auto-extracted - needs human spot check,"<h1>SYNONYM ROLL</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The players will begin a scene, and throughout it I can blow my whistle and the players will begin to list synonyms for what they just said.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the game and repeat a word, the player who said that word will begin to list synonyms for that word as quickly as possible. When the referee hears one they like, they will blow their whistle a second time and repeat the new word. From then forward anytime the original word should be said it is replaced with the synonym.</p>","SYNONYM ROLL
“The players will begin a scene, and throughout it I can blow my whistle and
the players will begin to list synonyms for what they just said.”
The referee gets a suggestion for the game, and the players begin with a
neutral scene. Whenever the referee wishes, they may interrupt the
game and repeat a word, the player who said that word will begin to list
synonyms for that word as quickly as possible. When the referee hears
one they like, they will blow their whistle a second time and repeat the
new word. From then forward anytime the original word should be said
it is replaced with the synonym.",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
30,TAG TEAM MONOLOGUE,Team Games,Interrupt Games,42,42,42,tag-team-monologue,"“The players will begin a monologue, however whenever they tap each other out they will switch who is telling the story.”","The referee gets a suggestion for the game, and the players line up behind one another. The player in the front begins to tell a story or monologue based on the suggestion, then at any point in time the player behind them will tap them on the shoulder and take over where they left off, as the same character. The tap-outs get faster as the game progresses.",,,"●
May be played head-to-head with one player acting out everything the other team says during their storytelling. The referee will switch between the teams telling the story and acting it out. (Called “Tag Team Tale”)",1,Tag Team Tale,,Auto-extracted - needs human spot check,"<h1>TAG TEAM MONOLOGUE</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The players will begin a monologue, however whenever they tap each other out they will switch who is telling the story.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players line up behind one another. The player in the front begins to tell a story or monologue based on the suggestion, then at any point in time the player behind them will tap them on the shoulder and take over where they left off, as the same character. The tap-outs get faster as the game progresses.</p>

<h2>Variations</h2>
<ul>
<li>May be played head-to-head with one player acting out everything the other team says during their storytelling. The referee will switch between the teams telling the story and acting it out. (Called “Tag Team Tale”)</li>
</ul>","TAG TEAM MONOLOGUE
“The players will begin a monologue, however whenever they tap each other
out they will switch who is telling the story.”
The referee gets a suggestion for the game, and the players line up
behind one another. The player in the front begins to tell a story or
monologue based on the suggestion, then at any point in time the player
behind them will tap them on the shoulder and take over where they left
off, as the same character. The tap-outs get faster as the game
progresses.
Variations on this Game
●
May be played head-to-head with one player acting out
everything the other team says during their storytelling. The
referee will switch between the teams telling the story and
acting it out. (Called “Tag Team Tale”)",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
31,BASIC REPLAY,Team Games,Replay Games,45,45,45,basic-replay,"(Start of the game) “The players will play a short setup scene, and I will be back to explain the rest in a moment.”
(After getting the style suggestions) “Now the players will replay the scene in the different styles.”","The referee gets a suggestion for the game, and the players begin with a neutral scene. After the scene is done, the referee will gather a list of styles for the players to replay the scene in. These can be genres of film, television, theatre, literature, or music. They can also get voices, accents, letters for alliteration, emotions, or animals for each of the players. The style of replay is really up to the referee. After getting the three replay styles, the team playing the game chooses the order to do the replays in, mapping the new styles over the original scene.",Replay; Genre Replay,,"●
May be played head-to-head with the teams alternating when replaying the scenes. May do a new setup scene after each team has done a replay. (Called “Mega Replay”)
●
May be played where the genres layer upon each other. (Called “Pileup Replay”)",2,Mega Replay; Pileup Replay,,Auto-extracted - needs human spot check,"<h1>BASIC REPLAY</h1>

<h2>Category</h2>
<p>Replay Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>(Start of the game) “The players will play a short setup scene, and I will be back to explain the rest in a moment.”<br>(After getting the style suggestions) “Now the players will replay the scene in the different styles.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin with a neutral scene. After the scene is done, the referee will gather a list of styles for the players to replay the scene in. These can be genres of film, television, theatre, literature, or music. They can also get voices, accents, letters for alliteration, emotions, or animals for each of the players. The style of replay is really up to the referee. After getting the three replay styles, the team playing the game chooses the order to do the replays in, mapping the new styles over the original scene.</p>

<h2>Alternate Names</h2>
<p>Replay; Genre Replay</p>

<h2>Variations</h2>
<ul>
<li>May be played head-to-head with the teams alternating when replaying the scenes. May do a new setup scene after each team has done a replay. (Called “Mega Replay”)</li>
<li>May be played where the genres layer upon each other. (Called “Pileup Replay”)</li>
</ul>","BASIC REPLAY
(Start of the game) “The players will play a short setup scene, and I will be
back to explain the rest in a moment.”
(After getting the style suggestions) “Now the players will replay the scene
in the different styles.”
The referee gets a suggestion for the game, and the players begin with a
neutral scene. After the scene is done, the referee will gather a list of
styles for the players to replay the scene in. These can be genres of film,
television, theatre, literature, or music. They can also get voices, accents,
letters for alliteration, emotions, or animals for each of the players. The
style of replay is really up to the referee.
After getting the three replay styles, the team playing the game chooses
the order to do the replays in, mapping the new styles over the original
scene.
Alternate Names: Replay; Genre Replay
Variations on this Game
●
May be played head-to-head with the teams alternating when
replaying the scenes. May do a new setup scene after each team
has done a replay. (Called “Mega Replay”)
●
May be played where the genres layer upon each other. (Called
“Pileup Replay”)",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
32,BIG FISH,Team Games,Replay Games,46,46,46,big-fish,"(Start of the game) “The players will play a short setup scene, and I will be back to explain the rest in a moment.”
(After getting the style suggestions) “Now the players will replay the scene in a more exaggerated fashion.”","The referee gets a suggestion for the game, and the players begin with a neutral scene. After the scene is done, the referee will challenge them to make the scene more exaggerated. They replay the scene three times, making it more exaggerated each time.",Whale’s Tale,,"●
May be played head-to-head with the teams alternating when replaying the scenes.",1,,,Auto-extracted - needs human spot check,"<h1>BIG FISH</h1>

<h2>Category</h2>
<p>Replay Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>(Start of the game) “The players will play a short setup scene, and I will be back to explain the rest in a moment.”<br>(After getting the style suggestions) “Now the players will replay the scene in a more exaggerated fashion.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin with a neutral scene. After the scene is done, the referee will challenge them to make the scene more exaggerated. They replay the scene three times, making it more exaggerated each time.</p>

<h2>Alternate Names</h2>
<p>Whale’s Tale</p>

<h2>Variations</h2>
<ul>
<li>May be played head-to-head with the teams alternating when replaying the scenes.</li>
</ul>","BIG FISH
(Start of the game) “The players will play a short setup scene, and I will be
back to explain the rest in a moment.”
(After getting the style suggestions) “Now the players will replay the scene
in a more exaggerated fashion.”
The referee gets a suggestion for the game, and the players begin with a
neutral scene. After the scene is done, the referee will challenge them to
make the scene more exaggerated. They replay the scene three times,
making it more exaggerated each time.
Alternate Names:  Whale’s Tale
Variations on this Game
●
May be played head-to-head with the teams alternating when
replaying the scenes.",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
33,COUNTDOWN,Team Games,Replay Games,47,47,47,countdown,"(Start of the game) “The players will play a 60-90 second setup scene, and I will be back to explain the rest in a moment.”
(After getting the style suggestions) “Now the players will replay the scene in half of the time the original took.”","The referee gets a suggestion for the game, and the players begin with a neutral scene. After the scene is done, the referee will cut the time in half, forcing the scene to get faster. This happens multiple times, until the final scene is replayed in under five seconds.",Half-Life,,,0,,,Auto-extracted - needs human spot check,"<h1>COUNTDOWN</h1>

<h2>Category</h2>
<p>Replay Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>(Start of the game) “The players will play a 60-90 second setup scene, and I will be back to explain the rest in a moment.”<br>(After getting the style suggestions) “Now the players will replay the scene in half of the time the original took.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin with a neutral scene. After the scene is done, the referee will cut the time in half, forcing the scene to get faster. This happens multiple times, until the final scene is replayed in under five seconds.</p>

<h2>Alternate Names</h2>
<p>Half-Life</p>","COUNTDOWN
(Start of the game) “The players will play a 60-90 second setup scene, and I
will be back to explain the rest in a moment.”
(After getting the style suggestions) “Now the players will replay the scene
in half of the time the original took.”
The referee gets a suggestion for the game, and the players begin with a
neutral scene. After the scene is done, the referee will cut the time in
half, forcing the scene to get faster. This happens multiple times, until the
final scene is replayed in under five seconds.
Alternate Names: Half-Life",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
34,GROUNDHOG’S REPLAY,Team Games,Replay Games,48,48,48,groundhogs-replay,"(Start of the game) “The players will play a setup scene, and I will be back to explain the rest in a moment.”
(After getting the style suggestions) “Now the players will replay the scene, but one player’s character knows they have done the scene before.”","The referee gets a suggestion for the game, and the players begin with a neutral scene. After the scene is done, the referee will choose a player to be the Groundhog, who relives the scene. The first replay is the first time they have lived through it, the second time is a number less than 50, and the final time is any number at all. These numbers are provided by the audience.",,,,0,,,Auto-extracted - needs human spot check,"<h1>GROUNDHOG’S REPLAY</h1>

<h2>Category</h2>
<p>Replay Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>(Start of the game) “The players will play a setup scene, and I will be back to explain the rest in a moment.”<br>(After getting the style suggestions) “Now the players will replay the scene, but one player’s character knows they have done the scene before.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin with a neutral scene. After the scene is done, the referee will choose a player to be the Groundhog, who relives the scene. The first replay is the first time they have lived through it, the second time is a number less than 50, and the final time is any number at all. These numbers are provided by the audience.</p>","GROUNDHOG’S REPLAY
(Start of the game) “The players will play a setup scene, and I will be back to
explain the rest in a moment.”
(After getting the style suggestions) “Now the players will replay the scene,
but one player’s character knows they have done the scene before.”
The referee gets a suggestion for the game, and the players begin with a
neutral scene. After the scene is done, the referee will choose a player to
be the Groundhog, who relives the scene. The first replay is the first time
they have lived through it, the second time is a number less than 50, and
the final time is any number at all. These numbers are provided by the
audience.",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
